"Country Name","Country Code","Indicator Name","Indicator Code","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Afghanistan","AFG","Current account balance (current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-265316705.280653","-738789375.126972","-1504735163.10034","-2505027151.94496","-5449092957.93303","-5634516054.97218","-3939505065.77621","-4689272666.4665","-3647720650.46661","-4683106146.3273","","","","","","","","",
"Afghanistan","AFG","Debt buyback (current US$)","DT.DSB.DPPG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Debt forgiveness grants (current US$)","DT.DOD.MDRI.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29530000","11930000","1290000","108690000","1040000","0","7430000","10080000","10640000","6030000","0","","","","","","","","",
"Afghanistan","AFG","Debt forgiveness or reduction (current US$)","DT.DFR.DPPG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-20190000","-41441240.3","-2337000","-202260182.1","0","0","-1143000","-3698000","-4301000","-4355000","-4291000","","","","","","","","",
"Afghanistan","AFG","Debt service on external debt, long-term (TDS, current US$)","DT.TDS.DLXF.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9259252.2","4514050.9","7292000","9670000","8675000","9747904.9","9911879.8","11683362.4","21248067.9","27416416.4","30269882.6","30590944.9","","","","","","","","",
"Afghanistan","AFG","Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)","DT.TDS.DPNG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","DT.TDS.DPPG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9259252.2","4514050.9","7292000","9670000","8675000","9747904.9","9911879.8","11683362.4","21248067.9","27416416.4","30269882.6","30590944.9","","","","","","","","",
"Afghanistan","AFG","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10894252.3","6154687.8","8030776.5","10739033.8","10431611.1","10326866.7","14838606.9","25140754.4","42199279.8","48922851.8","51840160.1","54086855.6","","","","","","","","",
"Afghanistan","AFG","Debt stock reduction (current US$)","DT.DSF.DPPG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13185000","0","254000","72257000","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Debt stock rescheduled (current US$)","DT.DXR.DPPG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56202000","17888000","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","146434198.4","146982171.5","96400058.6","108774066.3","76001339.8","62241085.3","52059123","36656261.1","31738287.8","26037494","11669350.7","3241563.1","56499886.6","72894453.7","49738700.5","32537025.8","19662243.7","10718958.1","5785022.9","1516133.3",
"Afghanistan","AFG","Disbursements on external debt, long-term + IMF (DIS, current US$)","DT.DIS.DLTF.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","146434198.4","201788133.3","132125133.6","126204118.4","84622858.6","81162309.1","70389985.2","36656261.1","31738287.8","26037494","17924613.4","15722209.1","","","","","","","","",
"Afghanistan","AFG","Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)","DT.DIS.DPNG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)","DT.DIS.DPPG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","146434198.4","146982171.5","96400058.6","108774066.3","76001339.8","62241085.3","52059123","36656261.1","31738287.8","26037494","11669350.7","3241563.1","","","","","","","","",
"Afghanistan","AFG","EBRD, private nonguaranteed (NFL, current US$)","DT.NFL.NEBR.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Exports of goods, services and primary income (current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1489487650.08776","2217687127.98471","2736496049.63872","3183274935.36979","2467235992.67441","1590466384.27375","2184573855.77821","1703576212.08485","1300505935.98791","1367042350.44318","","","","","","","","",
"Afghanistan","AFG","External debt stocks (% of exports of goods, services and primary income)","DT.DOD.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143.938876631416","111.837872998517","89.0052045323273","82.547523429507","110.615761358186","162.655238430662","119.610356289336","147.940262632317","187.074399306903","186.664499367758","","","","","","","","",
"Afghanistan","AFG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7918319752563","20.489285591418","20.9502659950429","19.7770776132676","15.2237902049688","14.4934792364892","13.0902895741733","12.5855373804926","12.5646756056763","12.9987650001512","12.3560737618183","12.1414318031517","","","","","","","","",
"Afghanistan","AFG","External debt stocks, concessional (DOD, current US$)","DT.DOD.ALLC.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","919511562.7","1836401499.2","1884015003","1995056788.4","1864892283.6","1921809319.9","1969135275.3","1995576213.3","1910411042.4","1879413774.6","1838964910.2","1871032769.4","","","","","","","","",
"Afghanistan","AFG","External debt stocks, long-term (DOD, current US$)","DT.DOD.DLXF.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","920022562.7","1902610499.2","1994506003","2106108788.4","1975547213.6","2032464249.9","2079790573.1","2106231511.1","2020952042.4","1989954774.6","1949505910.2","1981573769.4","","","","","","","","",
"Afghanistan","AFG","External debt stocks, long-term private sector (DOD, current US$)","DT.DOD.PRVS.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","External debt stocks, long-term public sector (DOD, current US$)","DT.DOD.PUBS.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","920022562.7","1902610499.2","1994506003","2106108788.4","1975547213.6","2032464249.9","2079790573.1","2106231511.1","2020952042.4","1989954774.6","1949505910.2","1981573769.4","","","","","","","","",
"Afghanistan","AFG","External debt stocks, private nonguaranteed (PNG) (DOD, current US$)","DT.DOD.DPNG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","920022562.7","1902610499.2","1994506003","2106108788.4","1975547213.6","2032464249.9","2079790573.1","2106231511.1","2020952042.4","1989954774.6","1949505910.2","1981573769.4","","","","","","","","",
"Afghanistan","AFG","External debt stocks, short-term (DOD, current US$)","DT.DOD.DSTC.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19149951.9","21653848.1","18364190.3","21352709.1","104846801.3","222695204","261728153.5","105102007.2","257184255.6","230158758.1","206423348.6","285355085","","","","","","","","",
"Afghanistan","AFG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","979344507.8","2023034713.1","2143951791.1","2480214113.7","2435623906","2627714623.1","2729151877.8","2586976889.5","2612976572.3","2520275122.3","2432913667.7","2551782759.6","","","","","","","","",
"Afghanistan","AFG","External debt stocks, variable rate (DOD, current US$)","DT.DOD.VTOT.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Foreign direct investment, net inflows in reporting economy (DRS, current US$)","BX.KLT.DINV.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238000000","188690000","40353040","56107246.5","190774431.98","52173421","56823660","48311346","42975262.5","169146608","93589442.8","53390000","","","","","","","","",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7100902255.45835","9873622504.18019","10233530169.0551","12540852406.0002","15998801042.3649","18130323162.7393","20848674602.161","20555156377.4287","20796211970.0053","19388573624.2688","19690022207.6852","21017148561.8162","","","","","","","","",
"Afghanistan","AFG","Grants, excluding technical cooperation (current US$)","BX.GRT.EXTA.CD.DT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2014760000","4327230000","4038970000","5152990000","5597150000","5952440000","5720170000","4332480000","4339970000","3820440000","3640540000","0","","","","","","","","",
"Afghanistan","AFG","IDA grants (current US$)","DT.DIS.IDAG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103762327.85","286738744.37","121971402.56","270767053.26","121953081.28","144307066.2","161202425.02","179345213.94","170331176","132690640.18","81603410.74","157107575.79","","","","","","","","",
"Afghanistan","AFG","IFC, private nonguaranteed (NFL, current US$)","DT.NFL.NIFC.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45890735.77","-12267982.47","52773544","-12226456","-24463958","-3823529","0","","","","","","","","",
"Afghanistan","AFG","IMF charges (INT, current US$)","DT.INT.DIMF.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1635000.1","1640636.9","738776.5","1069033.8","777611.1","261961.8","71176.1","308011.1","118508.3","109131.7","182097.6","115099.3","","","","","","","","",
"Afghanistan","AFG","IMF purchases (DIS, current US$)","DT.DIS.DIMF.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54805961.8","35725075","17430052.1","8621518.8","18921223.8","18330862.2","0","0","0","6255262.7","12480646","","","","","","","","",
"Afghanistan","AFG","IMF repurchases (AMT, current US$)","DT.AMT.DIMF.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3742551","12646380.9","19462703.6","20294303.7","20948179.9","20828811.4","","","","","","","","",
"Afghanistan","AFG","IMF repurchases and charges (TDS, current US$)","DT.TDS.DIMF.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1635000.1","1640636.9","738776.5","1069033.8","777611.1","261961.8","3813727.1","12954392","19581211.9","20403435.4","21130277.5","20943910.7","","","","","","","","",
"Afghanistan","AFG","Imports of goods, services and primary income (current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2365995177.56384","4288389694.50379","6062108518.57086","7542726229.16567","10072029729.8644","10370569213.0479","8592374423.90343","8731693031.76884","7546768512.39803","8243032590.53387","","","","","","","","",
"Afghanistan","AFG","Interest arrears, long-term DOD (US$)","DT.IXA.DPPG.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19149951.9","21653848.1","18364190.3","21352709.1","67846801.3","210695204","219638153.5","86094007.2","205391255.6","188468758.1","189774348.6","188864085","","","","","","","","",
"Afghanistan","AFG","Interest arrears, official creditors (current US$)","DT.IXA.OFFT.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19125951.9","21617848.1","18328190.3","21316709.1","67846801.3","210695204","219638153.5","86094007.2","205391255.6","188468758.1","189774348.6","188864085","","","","","","","","",
"Afghanistan","AFG","Interest arrears, private creditors (current US$)","DT.IXA.PRVT.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24000","36000","36000","36000","0","0","0","0","0","0","0","0","","","","","","","","",
